framework,time_train_s,metric_error,time_infer_s,bestdiff,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,error_count
CatBoost_r2,1424.597653551857,76497.13943237624,0.0007114986841755206,0.1869414276826244,0.04380706802544353,683.7720669580674,9.970050801806075,126.08415841584159,3,0,3,95,3
CatBoost_r62,83.10223085497633,95517.72277543209,0.0007583071702332445,0.19802520731209294,0.05259315104290781,100.52104860084324,6.332512510090324,127.96296296296296,0,0,0,81,23
CatBoost_r94,117.94329353173573,98904.8694270513,0.0006226616176771706,0.20749625501919206,0.05136548074306404,186.23987836113423,5.825278282158883,135.57051282051282,0,0,0,78,26
CatBoost_r89,68.89408371150493,95545.924338375,0.0005852806703000653,0.20500655115504035,0.05112351709738785,86.51350410553579,3.5505867436401353,135.6375,0,0,0,80,24
CatBoost_r65,111.63558364503177,95409.79145382716,0.0006753736003482216,0.20577813635278389,0.05477479902912901,152.45146061120812,6.654861565844778,137.6604938271605,0,0,0,81,23
CatBoost_r75,251.47236436973384,95095.15380567902,0.0006983225349953737,0.20554497076221948,0.05268237272225804,338.04301396422295,12.622824783911373,138.7530864197531,0,0,0,81,23
CatBoost_c1,641.1807391921293,75376.69209320388,0.0004637474593640233,0.20402602969139963,0.06264438779673978,298.5913158382022,4.969276273921238,139.78155339805826,1,3,1,98,1
CatBoost_r39,220.2671781333096,92721.43146602409,0.0007832659797147825,0.19929533534895352,0.053130048851016555,282.048522760532,12.253942828404682,140.9879518072289,0,1,1,81,21
CatBoost_r18,450.5713285843531,85741.86741877778,0.0007463193293920426,0.19965196929911003,0.05069035972318156,479.4453213905874,12.882204428305025,141.1611111111111,0,1,0,89,14
CatBoost_r23,246.52517933955139,88859.33076781609,0.0006315920402492597,0.20491800987645198,0.049988626490001374,300.0732988358546,7.639542767169035,142.04022988505747,1,0,0,86,17
CatBoost_r32,150.08076844045095,91738.92842261905,0.0007388855528524058,0.20053160680034537,0.05040356532578854,193.75667213632244,7.868735360501815,142.82142857142858,0,0,2,82,20
CatBoost_r31,233.39840345102198,90368.2684617647,0.0007734696015012083,0.20419138745488696,0.06122820000861125,321.5894582669019,12.977148466182259,143.04117647058823,2,0,1,82,19
CatBoost_r54,117.29395432879285,94761.90505341464,0.0007341026629541867,0.19392859227106982,0.050648029544802096,148.669790466366,7.847860075111617,143.6219512195122,0,0,1,81,22
CatBoost_r51,156.21906890064838,92894.82006433736,0.0007420027044383261,0.1956906837433632,0.05220936293097623,192.83150491451624,7.907934721615859,145.39156626506025,1,0,0,82,21
CatBoost_r43,198.30855360950332,92882.80291807228,0.0010045110892802143,0.2019264740041916,0.05302631434940673,298.66951838815737,15.972269196389405,145.47590361445782,0,1,0,82,21
CatBoost_r48,155.76878167347735,93129.25624879518,0.0007480294158459181,0.20023508325105613,0.05136581556992665,210.22927381900325,8.453135513117497,145.77710843373495,0,0,0,83,21
CatBoost_r88,131.80759197473526,96050.49244650001,0.0007076593626699607,0.20491378251646625,0.05289017995877082,223.65550920707028,9.799715387095599,146.05625,1,0,0,79,24
CatBoost_r80,62.34033296108246,96795.2781695,0.0005666068878048579,0.2105136030754977,0.053294479741230846,79.11796214231296,3.1527079033238796,147.49375,0,0,0,80,24
CatBoost_r30,194.40245647485867,89688.85819011628,0.0007034238584533273,0.20915609205430857,0.054839582841367744,253.8040251700827,8.117498393164054,148.0639534883721,0,0,0,86,18
CatBoost_r7,1073.9037964666884,80239.30385760417,0.000827865991778913,0.2052001820948525,0.049440898556437136,701.7352692536662,16.264208540230772,149.90625,1,0,3,92,8
CatBoost_r77,71.15883910953998,96887.13378025,0.0005572067143776625,0.20754721105223672,0.05374055605938529,93.9807610290077,4.2553948101418895,150.2125,0,0,0,80,24
CatBoost_r52,49.287670793303526,93146.17160650603,0.000586640845341436,0.20595563343475462,0.055686327102488796,58.84083536063289,3.1574562076204917,151.03012048192772,0,0,0,83,21
CatBoost_r93,55.27334973480128,97810.86532721519,0.0005825330450596739,0.21447574191382787,0.05470228667234118,90.37318606868597,3.8880900367800413,152.78481012658227,0,0,0,79,25
CatBoost_r13,1219.102769205647,82609.44350989247,0.0011968850797765985,0.2055681888702903,0.05068654651351316,962.4101289569302,30.35937488610819,153.41935483870967,1,0,0,92,11
CatBoost_r61,74.05428087564162,95497.09997506173,0.0006169950687134898,0.20835844966084638,0.05323372190350531,106.34967243814462,4.653275742757499,153.65432098765433,0,0,0,81,23
CatBoost_r72,77.71692881172086,95787.83760049383,0.0006034422970993623,0.2070651569695352,0.05561479025169175,103.13682659099798,3.9154257395454812,153.9506172839506,0,0,0,81,23
CatBoost_r17,133.32885428004795,85517.22254255555,0.0005355132240798543,0.20235260159592644,0.05170648827921435,137.85781451485502,3.504344795589532,154.2,0,0,0,90,14
CatBoost_r99,129.6859454313914,99409.79710333333,0.0005569724441238944,0.21302331504756852,0.05520360988537492,188.08291922073943,4.692371776700622,154.2051282051282,0,0,0,78,26
CatBoost_r97,39.243609168590645,100041.2872273077,0.0005968374102168824,0.21309954552077948,0.05609511662689652,61.656690010702064,2.9506673228207316,154.62179487179486,2,0,0,76,26
CatBoost_r47,53.34475334581122,93920.0660219277,0.0005624276621376306,0.20274749286141086,0.0534540124679582,62.50149754718683,2.9544270509461277,154.789156626506,1,0,0,82,21
CatBoost_r19,194.37053764137355,88016.82994920455,0.0006930280764714652,0.20200558778203972,0.05186634749670009,230.10535102952036,6.978053389778674,155.3693181818182,0,0,0,88,16
CatBoost_r3,2640.3456678933435,76115.78993366337,0.0015605028292901063,0.19661239473269762,0.04816992687735462,1510.598440853849,32.78711568664526,156.45544554455446,1,2,0,98,3
CatBoost_r36,131.0428809097835,91838.9822752381,0.0006934368615127343,0.20441529192085994,0.05388662936932763,149.93531318436231,7.292704914842396,156.89880952380952,0,0,0,84,20
CatBoost_r50,154.1358088211841,93145.84470253011,0.0005492866121515045,0.20872618755870054,0.053325841163943184,207.94652380890912,5.245498061445815,158.81927710843374,0,0,1,82,21
CatBoost_r14,923.1296860935923,84519.43740362638,0.0014644494015913928,0.19990895057414507,0.05300364427349826,940.4656953096211,31.37749430867614,160.75824175824175,0,1,0,90,13
CatBoost_r66,113.04695057868958,95146.71485925926,0.0010099442373165289,0.21146150682995082,0.05864560602835899,147.42245387583853,12.2240777265714,160.89506172839506,0,0,0,81,23
CatBoost_r44,115.6855241620397,93141.00978084338,0.000730122997704455,0.2029985624768173,0.05701492239452744,145.08519173236974,7.3835825269513515,161.1144578313253,0,1,0,82,21
CatBoost_r37,412.570006052653,91738.50007119046,0.0011180282562021616,0.21121649912215967,0.06146617341542971,574.128610003864,31.141963298633218,161.33928571428572,0,1,0,83,20
CatBoost_r92,345.0901668946954,97208.26360683545,0.0009939770642876456,0.21296400832666282,0.053047262101399144,546.7282015547465,32.31662655642869,162.63924050632912,0,0,0,79,25
CatBoost_r74,118.14255176061465,94864.2605345679,0.0006926901726455849,0.20835526861460799,0.057365311538380474,203.38687259086856,9.214163516391967,162.91358024691357,0,1,0,80,23
CatBoost_r90,302.45738359644446,97175.87483265823,0.0009851573041213168,0.2145459925504194,0.05418473174667007,476.2910571492659,29.671525580651874,163.0379746835443,0,0,0,79,25
CatBoost_r11,235.81915019148138,84016.38788032257,0.0005211429094213248,0.20767560530202034,0.04962944060821181,176.1683698155463,3.8669191413228905,163.05913978494624,0,2,0,91,11
CatBoost_r15,125.3127940442827,86115.64918077778,0.0004982370382271725,0.20883006293814899,0.05226868723445659,129.6946042869031,3.8441834022094516,164.4,0,0,0,90,14
CatBoost_r64,404.3553733913987,94749.97478493827,0.00189417057842414,0.20835241702939722,0.053088824962294265,592.5145727034785,47.24935074441065,164.59259259259258,0,0,0,81,23
CatBoost_r53,383.7328299872847,92343.90190072289,0.001588276854073504,0.20285263840678414,0.05565902972291394,492.52712647307703,33.38780226544786,164.66867469879517,0,0,0,83,21
CatBoost_r10,168.9005108107912,82872.41514606384,0.0005175145976839164,0.20841777632195416,0.05865839176821139,142.97504122263425,3.39082466636478,167.1595744680851,1,0,1,92,10
CatBoost_r98,80.17208749820024,99505.00387974358,0.0005885240981665109,0.21767377599291768,0.05694381280544,122.17825930526942,3.4387754542902838,168.06410256410257,0,0,0,78,26
CatBoost_r73,298.6196706265579,94553.71355666667,0.0009066192630771682,0.2063681259337899,0.05688643140360782,421.58705785582504,22.93887476620638,168.9506172839506,0,0,1,80,23
CatBoost_r100,132.99092275362747,99394.82373679486,0.0006040143433981639,0.21890398234676312,0.05580158937878611,212.13552309805164,5.2837108626308815,169.21153846153845,0,0,1,77,26
CatBoost_r68,319.69696824933277,94473.09649851851,0.0015524382810793579,0.2082663878453562,0.05568029171277134,420.9514543521995,32.33502061115087,170.09259259259258,0,0,0,81,23
CatBoost_r96,46.95505877030202,98897.76708487178,0.0006354467100275269,0.21737581414869553,0.05615595781065856,79.95745013682648,4.190370620274308,170.23717948717947,1,0,0,77,26
CatBoost_r58,50.85402971069987,94835.2817842683,0.0005516593899497563,0.20226499473237528,0.053503344720105116,58.30779130893487,2.6736561790638853,170.58536585365854,0,1,0,81,22
CatBoost_r28,391.9633845978005,89381.64501790698,0.0013111305196001396,0.20973972953882825,0.055490167859554164,548.6569192544557,21.10093922753469,170.83139534883722,2,0,0,84,18
CatBoost_r76,35.76414658129215,97174.64389912499,0.0005838805372024258,0.214773204999909,0.06232453207396932,46.14705360405493,2.7853923968180103,172.09375,0,0,0,80,24
CatBoost_r87,92.799774569273,97041.441998625,0.0005648648139954021,0.21612472688923906,0.05438643306345091,132.7240230327967,3.3931492730511392,172.1625,0,0,0,80,24
CatBoost_r4,411.7994139146805,77686.6823749,0.0005121174440426054,0.22190709439131973,0.06526068412645823,237.47955207344378,5.191727258987847,172.535,0,1,0,99,4
CatBoost_r33,169.05584734678268,92208.24386785715,0.000596259310284366,0.2117663162625513,0.056270558910148684,235.37682376141024,5.709696367168653,172.8154761904762,0,0,0,84,20
CatBoost_r60,508.87854087643507,93436.93309231708,0.0017344676760822156,0.20710454413702073,0.05700380578955984,655.4063434161571,44.44501417612038,173.15853658536585,0,0,0,82,22
CatBoost_r49,229.5633084084614,93037.47437373493,0.0014283304624790806,0.2074917508350439,0.054587077161647984,303.0060860905397,24.722408619552972,174.47590361445782,1,0,0,82,21
CatBoost_r1,1068.070275804784,76593.76640940593,0.00067421947502566,0.1980080441881842,0.05206071968037418,504.7958490985806,6.399153472433496,175.53465346534654,1,0,1,99,3
CatBoost_r9,312.46085911862394,82732.07762021276,0.000716872266005722,0.1989513019635452,0.05542194423518536,322.983354482548,6.890005636231412,175.70744680851064,0,0,0,94,10
CatBoost_r12,211.68118625815197,82923.11985268816,0.0006419761301700727,0.20196067747544466,0.05389616521207969,221.5844023397033,5.083331158268616,176.19892473118279,1,0,0,92,11
CatBoost_r55,190.36365379066,93735.5501597561,0.0014459756978256189,0.20770295122584093,0.05451721516428636,279.96039918751615,24.222870508043783,176.3841463414634,1,1,2,78,22
CatBoost_r56,52.04566445001742,93380.15374731708,0.0007110483124565369,0.21284066633780896,0.05607035333212142,63.95748409555954,5.341419594309463,176.53048780487805,0,0,0,82,22
CatBoost_r5,197.50972007245434,79247.6519112245,0.00047494748594966666,0.2091934009794041,0.054094242344985353,125.02431414456345,3.16782928727641,177.0612244897959,0,2,1,95,6
CatBoost_r35,106.11611074209213,92170.33087142857,0.0005655406952286329,0.21397597918542355,0.055189882132535915,145.30775849068294,3.6996162499381504,177.83333333333334,0,0,2,82,20
CatBoost_r8,159.88630891850121,82110.076352,0.0004682721551327406,0.20502972248662635,0.05051946082786952,145.37536079720834,3.425510428041894,178.67368421052632,0,0,0,95,9
CatBoost_r45,166.653600799032,92313.71688542169,0.0013849488738393227,0.20788223435641295,0.0574186439937824,229.10871894127237,21.400604827703223,178.71686746987953,1,0,1,81,21
CatBoost_r84,84.90013213455677,96894.627345875,0.0005183692385921937,0.21968507228722736,0.055364736724393834,129.23427048924077,3.3767608718445374,179.49375,0,0,0,80,24
CatBoost_r42,49.073124506387366,93274.3524160241,0.0004993855807015523,0.2123406481007828,0.05419808218388786,54.45527794629062,2.464293258670351,179.84939759036143,0,0,0,83,21
CatBoost_r69,30.962114881586146,95791.25959320988,0.0005699743697437975,0.20626610208571042,0.05561689947069511,34.74177035722396,2.9390073563264827,180.4814814814815,0,0,0,81,23
CatBoost_r78,158.22027198374272,96220.783749,0.0008211788355133804,0.21744298868543716,0.05796716018978565,251.85134156883282,15.638917714437273,182.125,0,0,0,80,24
CatBoost_r22,112.29188425239475,89466.25825425287,0.0005632576273452594,0.21517852674005186,0.054873369825979276,133.23883559608043,3.828378079791498,183.70114942528735,0,0,0,87,17
CatBoost_r16,78.07878234651353,86923.61971233333,0.0005229913720147804,0.20184310827198143,0.055897231416827786,98.03132146366843,2.872783391661425,183.79444444444445,3,0,0,87,14
CatBoost_r27,90.19198070016019,90612.37448465115,0.0005488633920153617,0.2203497626729121,0.05772466165188075,125.94433903870862,3.3871374468629583,183.81976744186048,0,0,0,86,18
CatBoost_r26,64.40094119448995,90312.86227046512,0.0005362358100479207,0.21735758067171232,0.05475458897832765,88.44395926260717,2.8245892138646846,185.20348837209303,0,0,0,86,18
LightGBM_r76,40.85142831949844,76630.55573453607,0.000323123218867997,0.21996452255412446,0.06033405810445073,17.3889528301532,69.0559835270522,185.87113402061857,0,1,0,96,7
CatBoost_r63,154.23541450206145,95584.93322197531,0.0005960178222987327,0.22203402718832613,0.05929072570939568,231.87534908585252,6.2328767122609445,186.79012345679013,0,0,0,81,23
CatBoost_r67,125.42473549901703,95129.42777308643,0.0013296455778477245,0.21186913850683647,0.05718503935095349,184.4772605793077,19.28066756826591,186.93827160493828,1,0,0,80,23
LightGBM_r37,65.72115691502889,75453.98306444444,0.000412937443478988,0.22058544378616404,0.06142674502482139,37.53522040539347,128.0793855285622,187.92424242424244,1,0,1,97,5
CatBoost_r71,45.02363759500009,95252.53363925927,0.0006926957630935833,0.21554867934385488,0.05880955187751828,63.94733247340301,5.4715913614201765,188.62345679012347,0,0,0,81,23
CatBoost_r70,44.21051471027327,96443.62134333333,0.0005742976499312199,0.21481553084593616,0.06235657638254623,56.15284498134009,2.809786298813829,189.58641975308643,0,0,0,81,23
CatBoost_r21,212.1791607292219,89264.24250977012,0.0007543511287753302,0.21280682635946438,0.06083728968284347,300.4953004954518,8.633672388776418,189.60919540229884,0,0,0,87,17
CatBoost_r81,133.20283292233944,96953.89621975001,0.0005698885304947514,0.21943735430455086,0.05968454219378323,188.1062380533337,4.069537233103879,190.5625,0,1,0,79,24
CatBoost_r86,24.495426964759826,97674.95311249999,0.0005581923676116054,0.22369714610667604,0.05936526800345693,28.450555922105387,2.319095431393501,194.26875,0,1,0,79,24
CatBoost_r6,444.9582496500507,80263.15562793815,0.0005067264778962116,0.22449195097547353,0.059378267154998755,298.5492229934933,5.226705040943227,194.38144329896906,0,0,0,97,7
LightGBM_r82,44.374552537997566,79194.5871921875,0.00040131830615290734,0.21372806133026526,0.06183881751414888,21.650907796109095,87.61802871587047,195.00520833333334,1,0,0,95,8
LightGBM_r66,33.68350594627614,78145.05761489796,0.00019535128513794087,0.2113978900060256,0.06162403476194464,15.05160630914494,43.68137792642652,196.03061224489795,0,0,0,98,6
LightGBM_r2,69.585490100524,73286.44373921568,0.0002319657345410528,0.2276827158023944,0.06197536277460019,28.66807275618423,95.82317086659033,197.41666666666666,0,0,0,102,2
LightGBM_r36,48.28461245093683,75981.32459787879,0.00029109064466116894,0.22547467244113245,0.06492427910680867,31.985447945399766,110.75071845812674,198.8181818181818,0,0,1,98,5
